dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,token_fair,0.7986,0.4666,327.2294,514,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0
csic2010,tiny,WordPiece,token_fair,0.8254,0.456,329.449,526,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0
csic2010,tiny,Unigram,token_fair,0.7738,0.7728,406.3974,595,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0
csic2010,tiny,Bytes,token_fair,0.6326,0.4416,785.3036,1059,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0
csic2010,tiny,CIT,token_fair,0.8844,0.8844,216.9894,416,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0
csic2010,small,BPE,token_fair,0.8578,0.4814,327.2294,514,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0
csic2010,small,WordPiece,token_fair,0.8856,0.4652,329.449,526,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0
csic2010,small,Unigram,token_fair,0.7936,0.7936,406.3974,595,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0
csic2010,small,Bytes,token_fair,0.683,0.4422,785.3036,1059,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0
csic2010,small,CIT,token_fair,0.9018,0.9018,216.9894,416,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0
