tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,1,2048,512,10000000,0.8522878493192753,106.31579486129594,112,0.15733263058292604,1.4141440391540527,3815426,3.815426
BPE,small,1,2048,512,10000000,0.8094994369945747,106.31579486129594,112,0.15733263058292604,3.932159900665283,11631362,11.631362
WordPiece,mini,1,2048,512,10000000,0.8534138601699253,106.44334118128775,112,0.15253285756636303,1.4478720426559448,3815426,3.815426
WordPiece,small,1,2048,512,10000000,0.7606715119254785,106.44334118128775,112,0.15253285756636303,3.9383039474487305,11631362,11.631362
Unigram,mini,1,2048,512,10000000,0.8442010441191524,232.94277817586243,245,0.3745269999919872,3.7007999420166016,3815426,3.815426
Unigram,small,1,2048,512,10000000,0.808475790766711,232.94277817586243,245,0.3745269999919872,9.062399864196777,11631362,11.631362
Bytes,mini,1,2048,512,10000000,0.8278227044733341,336.54314668850446,347,0.3438088589556967,4.72057580947876,3815426,3.815426
Bytes,small,1,2048,512,10000000,0.8046882997236156,336.54314668850446,347,0.3438088589556967,12.27673625946045,11631362,11.631362
CIT,mini,1,2048,512,10000000,0.8537209540382844,60.646125499027534,70,0.1157004109093304,1.136639952659607,3815426,3.815426
CIT,small,1,2048,512,10000000,0.7621046166444877,60.646125499027534,70,0.1157004109093304,2.488607883453369,11631362,11.631362
