tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,0,2048,512,5000000,0.8430750332685024,106.31292865185792,111,0.20627027908430753,1.628159999847412,3815426,3.815426
BPE,small,0,2048,512,5000000,0.8098065308629337,106.31292865185792,111,0.20627027908430753,5.982207775115967,11631362,11.631362
WordPiece,mini,0,2048,512,5000000,0.8510594738458389,106.44098679496366,112,0.1836841200630814,1.5820800065994263,3815426,3.815426
WordPiece,small,0,2048,512,5000000,0.7606715119254785,106.44098679496366,112,0.1836841200630814,6.1675519943237305,11631362,11.631362
Unigram,mini,0,2048,512,5000000,0.8394922714709796,232.96079434947282,245,0.28791169467047967,5.408768177032471,3815426,3.815426
Unigram,small,0,2048,512,5000000,0.7690654109939605,232.96079434947282,245,0.28791169467047967,15.034367561340332,11631362,11.631362
Bytes,mini,0,2048,512,5000000,0.8263895997543249,336.47783805916674,347,0.28698293943442005,9.276415824890137,3815426,3.815426
Bytes,small,0,2048,512,5000000,0.8090899785034292,336.47783805916674,347,0.28698293943442005,23.516159057617188,11631362,11.631362
CIT,mini,0,2048,512,5000000,0.8493192752584706,60.534548060190396,69,0.13812096784252623,1.369088053703308,3815426,3.815426
CIT,small,0,2048,512,5000000,0.8087828846350701,60.534548060190396,69,0.13812096784252623,4.765696048736572,11631362,11.631362
