dataset,model,tokenizer,budget_mode,total_tokens,n,acc,acc_std,drift_acc,drift_acc_std,avg_len,avg_len_std,p95_len,p95_len_std,total_steps,total_steps_std
csic2010,small,CIT,token_fair,2000000,3,0.8745333333333333,0.01020065357383213,0.8745333333333333,0.01020065357383213,216.1226,2.4439419633043515,410.6666666666667,7.571877794400365,0.0,0.0
csic2010,small,CIT,token_fair,5000000,3,0.903,0.0024248711305964177,0.903,0.0024248711305964177,216.1226,2.4439419633043515,410.6666666666667,7.571877794400365,0.0,0.0
csic2010,small,Unigram,token_fair,1000000,3,0.6965333333333333,0.014672877472852177,0.6965333333333333,0.015015103507246743,402.9316,3.3838193627911206,599.3333333333334,5.131601439446884,0.0,0.0
csic2010,small,Unigram,token_fair,10000000,3,0.8594,0.00965608616365865,0.8593333333333334,0.009434687770845022,402.9316,3.3838193627911206,599.3333333333334,5.131601439446884,0.0,0.0
csic2010,small,Unigram,token_fair,2000000,3,0.6961333333333334,0.07003151671450034,0.6966666666666667,0.07004351028705898,402.9316,3.3838193627911206,599.3333333333334,5.131601439446884,0.0,0.0
csic2010,small,Unigram,token_fair,5000000,3,0.7852666666666667,0.024147325593807147,0.7842,0.022942536912904807,402.9316,3.3838193627911206,599.3333333333334,5.131601439446884,0.0,0.0
csic2010,small,WordPiece,token_fair,1000000,3,0.7420666666666667,0.030077455566143458,0.5614,0.1465860839234066,330.08113333333336,1.2664353174692007,527.0,4.58257569495584,0.0,0.0
csic2010,small,WordPiece,token_fair,10000000,3,0.9107333333333334,0.0009451631252505429,0.49193333333333333,0.030237283828633353,330.08006666666665,1.266998410943483,527.0,4.58257569495584,0.0,0.0
csic2010,small,WordPiece,token_fair,2000000,3,0.7923333333333333,0.009130899919139002,0.4776666666666667,0.0061329710037903535,330.0842,1.2717314339120553,527.0,4.58257569495584,0.0,0.0
csic2010,small,WordPiece,token_fair,5000000,3,0.8790666666666667,0.0369942337849202,0.48819999999999997,0.03333526661060323,330.0856,1.2794375170363026,527.0,4.58257569495584,0.0,0.0
csic2010,tiny,BPE,token_fair,1000000,3,0.7452,0.005257375771237974,0.4580666666666667,0.008900187263947517,327.84073333333333,1.1871878930200312,515.3333333333334,3.2145502536643185,0.0,0.0
csic2010,tiny,BPE,token_fair,10000000,3,0.856,0.010956276739841864,0.48500000000000004,0.016014992975334097,327.84073333333333,1.1871878930200312,515.3333333333334,3.2145502536643185,0.0,0.0
csic2010,tiny,BPE,token_fair,2000000,3,0.7676666666666666,0.028636573351805458,0.4682,0.011793218390244456,327.84073333333333,1.1871878930200312,515.3333333333334,3.2145502536643185,0.0,0.0
csic2010,tiny,BPE,token_fair,5000000,3,0.7986,0.009000000000000008,0.48086666666666666,0.012381168496282301,327.84073333333333,1.1871878930200312,515.3333333333334,3.2145502536643185,0.0,0.0
csic2010,tiny,Bytes,token_fair,1000000,3,0.5858666666666666,0.003008875759039124,0.5553333333333333,0.05451507436786024,786.4226,1.8081269313850847,1060.6666666666667,4.725815626252609,0.0,0.0
csic2010,tiny,Bytes,token_fair,10000000,3,0.6782666666666667,0.007114304838375536,0.4516,0.0058,786.4226,1.8081269313850847,1060.6666666666667,4.725815626252609,0.0,0.0
csic2010,tiny,Bytes,token_fair,2000000,3,0.6037333333333333,0.014854404509549786,0.49,0.08491030561716284,786.4226,1.8081269313850847,1060.6666666666667,4.725815626252609,0.0,0.0
csic2010,tiny,Bytes,token_fair,5000000,3,0.6429333333333334,0.013494196283340955,0.4498,0.013009227494359529,786.4226,1.8081269313850847,1060.6666666666667,4.725815626252609,0.0,0.0
csic2010,tiny,CIT,token_fair,1000000,3,0.8376,0.01818900766946896,0.8376,0.01818900766946896,216.1226,2.4439419633043515,410.6666666666667,7.571877794400365,0.0,0.0
csic2010,tiny,CIT,token_fair,10000000,3,0.9076,0.0018330302779823644,0.9076,0.0018330302779823644,216.1226,2.4439419633043515,410.6666666666667,7.571877794400365,0.0,0.0
csic2010,tiny,CIT,token_fair,2000000,3,0.8657333333333334,0.010630772941481428,0.8657333333333334,0.010630772941481428,216.1226,2.4439419633043515,410.6666666666667,7.571877794400365,0.0,0.0
csic2010,tiny,CIT,token_fair,5000000,3,0.8910666666666667,0.005896891836665596,0.8910666666666667,0.005896891836665596,216.1226,2.4439419633043515,410.6666666666667,7.571877794400365,0.0,0.0
csic2010,tiny,Unigram,token_fair,1000000,3,0.7012,0.009800000000000055,0.7024,0.008373768566183375,402.9316,3.3838193627911206,599.3333333333334,5.131601439446884,0.0,0.0
csic2010,tiny,Unigram,token_fair,10000000,3,0.8138,0.011511733144926536,0.8124,0.011112155506471277,402.9316,3.3838193627911206,599.3333333333334,5.131601439446884,0.0,0.0
csic2010,tiny,Unigram,token_fair,2000000,3,0.7143333333333333,0.01188163849531426,0.7156,0.010583005244258372,402.9316,3.3838193627911206,599.3333333333334,5.131601439446884,0.0,0.0
csic2010,tiny,Unigram,token_fair,5000000,3,0.7641333333333333,0.013585776876326698,0.763,0.012252346713997275,402.9316,3.3838193627911206,599.3333333333334,5.131601439446884,0.0,0.0
csic2010,tiny,WordPiece,token_fair,1000000,3,0.7022,0.013368619973654728,0.5886666666666667,0.12832993934905967,330.08113333333336,1.2664353174692007,527.0,4.58257569495584,0.0,0.0
csic2010,tiny,WordPiece,token_fair,10000000,3,0.8868666666666667,0.016275544025725612,0.481,0.019629569531703972,330.08006666666665,1.266998410943483,527.0,4.58257569495584,0.0,0.0
csic2010,tiny,WordPiece,token_fair,2000000,3,0.7678,0.017007057358637945,0.47026666666666667,0.01775875371002519,330.0842,1.2717314339120553,527.0,4.58257569495584,0.0,0.0
csic2010,tiny,WordPiece,token_fair,5000000,3,0.8241333333333334,0.018111138377620926,0.47933333333333333,0.01404326647661907,330.0856,1.2794375170363026,527.0,4.58257569495584,0.0,0.0
