tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,1,2048,512,2000000,0.8392875422254069,106.31579486129594,112,0.15733263058292604,1.3926399946212769,3815426,3.815426
BPE,small,1,2048,512,2000000,0.8287439860784113,106.31579486129594,112,0.15733263058292604,3.914560079574585,11631362,11.631362
WordPiece,mini,1,2048,512,2000000,0.8416419285494933,106.43986078411301,112,0.15295414525022674,1.4090240001678467,3815426,3.815426
WordPiece,small,1,2048,512,2000000,0.8431773978912888,106.43986078411301,112,0.15295414525022674,3.9208319187164307,11631362,11.631362
Unigram,mini,1,2048,512,2000000,0.8224997440884431,232.94277817586243,245,0.3745269999919872,3.6710400581359863,3815426,3.815426
Unigram,small,1,2048,512,2000000,0.8280274337189067,232.94277817586243,245,0.3745269999919872,8.948736190795898,11631362,11.631362
Bytes,mini,1,2048,512,2000000,0.8011055379260927,336.54314668850446,347,0.3438088589556967,4.70527982711792,3815426,3.815426
Bytes,small,1,2048,512,2000000,0.8045859351008292,336.54314668850446,347,0.3438088589556967,12.17846393585205,11631362,11.631362
CIT,mini,1,2048,512,2000000,0.8493192752584706,60.646125499027534,70,0.1157004109093304,1.124351978302002,3815426,3.815426
CIT,small,1,2048,512,2000000,0.7606715119254785,60.646125499027534,70,0.1157004109093304,2.481152057647705,11631362,11.631362
