dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,token_fair,0.749,0.4636,329.209,519,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1
csic2010,tiny,WordPiece,token_fair,0.7058,0.6518,331.5392,532,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1
csic2010,tiny,Unigram,token_fair,0.69,0.6928,402.7612,605,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1
csic2010,tiny,Bytes,token_fair,0.5878,0.588,788.5086,1066,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1
csic2010,tiny,CIT,token_fair,0.8484,0.8484,213.3634,402,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1
csic2010,small,BPE,token_fair,0.7688,0.4748,329.209,519,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1
csic2010,small,WordPiece,token_fair,0.7556,0.4728,331.5392,532,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1
csic2010,small,Unigram,token_fair,0.7086,0.7074,402.7612,605,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1
csic2010,small,Bytes,token_fair,0.5882,0.588,788.5086,1066,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1
csic2010,small,CIT,token_fair,0.8486,0.8486,213.3634,402,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1
