tokenizer,backbone,total_tokens,n,acc,acc_std,avg_len,avg_len_std,p95_len,p95_len_std,distortion_hat,distortion_hat_std,p95_latency_ms,p95_latency_ms_std,params_m,params_m_std
BPE,mini,1000000,3,0.8333845156447265,0.00015636454413467418,106.32371105879142,0.01625675689764622,111.66666666666667,0.5773502691896257,0.18570190911010379,0.025384325693232204,1.4697920083999634,0.1369909436775145,3.815426,0.0
BPE,mini,10000000,3,0.85102535230491,0.0010945518089429459,106.32371105879142,0.01625675689764622,111.66666666666667,0.5773502691896257,0.18570190911010379,0.025384325693232204,1.5019413630167644,0.12622298627509942,3.815426,0.0
BPE,mini,2000000,3,0.833316272562869,0.015669590923453196,106.32371105879142,0.01625675689764622,111.66666666666667,0.5773502691896257,0.18570190911010379,0.025384325693232204,1.4667093356450398,0.13006952642117162,3.815426,0.0
BPE,mini,5000000,3,0.8467601596888116,0.004027498325909724,106.32371105879142,0.01625675689764622,111.66666666666667,0.5773502691896257,0.18570190911010379,0.025384325693232204,1.481386661529541,0.12791532448708223,3.815426,0.0
BPE,small,1000000,3,0.7708056095813287,0.03713550935391117,106.32371105879142,0.01625675689764622,111.66666666666667,0.5773502691896257,0.18570190911010379,0.025384325693232204,4.518229325612386,1.2871073442757646,11.631362,0.0
BPE,small,10000000,3,0.7769474869485106,0.02819081568261355,106.32371105879142,0.01625675689764622,111.66666666666667,0.5773502691896257,0.18570190911010379,0.025384325693232204,4.53058139483134,1.293714647397505,11.631362,0.0
BPE,small,2000000,3,0.8188487392090626,0.019765740140843712,106.32371105879142,0.01625675689764622,111.66666666666667,0.5773502691896257,0.18570190911010379,0.025384325693232204,4.523967981338501,1.2927920274877722,11.631362,0.0
BPE,small,5000000,3,0.8012420240898079,0.03703850438830287,106.32371105879142,0.01625675689764622,111.66666666666667,0.5773502691896257,0.18570190911010379,0.025384325693232204,4.516511917114258,1.2751670607770853,11.631362,0.0
Bytes,mini,1000000,3,0.7567134131777391,0.012260843500704555,336.547650731907,0.07217018075486199,347.3333333333333,0.5773502691896257,0.35393463528599023,0.07254652866139864,6.19758955637614,2.682793485322047,3.815426,0.0
Bytes,mini,10000000,3,0.8093629508308595,0.01601616572324588,336.547650731907,0.07217018075486199,347.3333333333333,0.5773502691896257,0.35393463528599023,0.07254652866139864,6.193813323974609,2.6050558300142064,3.815426,0.0
Bytes,mini,2000000,3,0.8031869519227488,0.010041303390162843,336.547650731907,0.07217018075486199,347.3333333333333,0.5773502691896257,0.35393463528599023,0.07254652866139864,5.791029294331868,1.9781917397811795,3.815426,0.0
Bytes,mini,5000000,3,0.822840959497731,0.005119595819022405,336.547650731907,0.07217018075486199,347.3333333333333,0.5773502691896257,0.35393463528599023,0.07254652866139864,6.196106751759847,2.6679122665661157,3.815426,0.0
Bytes,small,1000000,3,0.7626505612993483,0.0034278140662297356,336.547650731907,0.07217018075486199,347.3333333333333,0.5773502691896257,0.35393463528599023,0.07254652866139864,14.851071993509928,4.987774023137195,11.631362,0.0
Bytes,small,10000000,3,0.8051660012966185,0.004013598376505938,336.547650731907,0.07217018075486199,347.3333333333333,0.5773502691896257,0.35393463528599023,0.07254652866139864,15.250986417134603,5.409302230145657,11.631362,0.0
Bytes,small,2000000,3,0.7753096529839287,0.025354004041595844,336.547650731907,0.07217018075486199,347.3333333333333,0.5773502691896257,0.35393463528599023,0.07254652866139864,15.061322212219238,5.298621481089685,11.631362,0.0
Bytes,small,5000000,3,0.7852048998532773,0.020796484369915984,336.547650731907,0.07217018075486199,347.3333333333333,0.5773502691896257,0.35393463528599023,0.07254652866139864,15.881439526875814,6.614496592917687,11.631362,0.0
CIT,mini,1000000,3,0.840242945371413,0.008490917671620989,60.607431671614286,0.0631592211192067,69.66666666666667,0.5773502691896257,0.1242476735516638,0.01212209978260856,1.2344746589660645,0.12583330218053074,3.815426,0.0
CIT,mini,10000000,3,0.8504452861091207,0.0030158501100739634,60.607431671614286,0.0631592211192067,69.66666666666667,0.5773502691896257,0.1242476735516638,0.01212209978260856,1.230847994486491,0.1317303790078072,3.815426,0.0
CIT,mini,2000000,3,0.84764731975296,0.0015535609155262445,60.607431671614286,0.0631592211192067,69.66666666666667,0.5773502691896257,0.1242476735516638,0.01212209978260856,1.2209493319193523,0.1294716020908765,3.815426,0.0
CIT,mini,5000000,3,0.8498310983724024,0.0011626386213123851,60.607431671614286,0.0631592211192067,69.66666666666667,0.5773502691896257,0.1242476735516638,0.01212209978260856,1.240277369817098,0.11707184046794772,3.815426,0.0
CIT,small,1000000,3,0.8348176203637356,0.008506329749439627,60.607431671614286,0.0631592211192067,69.66666666666667,0.5773502691896257,0.1242476735516638,0.01212209978260856,3.228437344233195,1.2831630909518743,11.631362,0.0
CIT,small,10000000,3,0.7611492134984816,0.0008274033952968548,60.607431671614286,0.0631592211192067,69.66666666666667,0.5773502691896257,0.1242476735516638,0.01212209978260856,3.209653377532959,1.260683604511134,11.631362,0.0
CIT,small,2000000,3,0.8111713925000853,0.04425294192734868,60.607431671614286,0.0631592211192067,69.66666666666667,0.5773502691896257,0.1242476735516638,0.01212209978260856,3.211968024571737,1.2819453389978592,11.631362,0.0
CIT,small,5000000,3,0.8058484321151943,0.016372047277982343,60.607431671614286,0.0631592211192067,69.66666666666667,0.5773502691896257,0.1242476735516638,0.01212209978260856,3.2598400115966797,1.304141026205673,11.631362,0.0
Unigram,mini,1000000,3,0.8085099123076398,0.01584812426754021,232.98727266523358,0.0621208493913767,245.33333333333334,0.5773502691896257,0.34463304276428847,0.04914605227784607,4.052650690078735,1.2799485164992228,3.815426,0.0
