seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
51438,4,0.8031505942344666,0.5625,0.5438,0.13357806205749512,0.00015431399999999996
112567,9,0.6209608316421509,0.59375,0.4562,3.2534515857696533,0.0003
162623,13,0.6805338859558105,0.625,0.545,6.389520168304443,0.0003
213845,17,0.6865131258964539,0.5,0.4562,8.361538887023926,0.0003
264143,21,0.6877820491790771,0.53125,0.4562,10.778005599975586,0.0003
314154,25,0.6422171592712402,0.6875,0.6596,13.875611782073975,0.0003
375090,30,0.6399591565132141,0.53125,0.6622,17.035288333892822,0.0003
425366,34,0.6733437776565552,0.65625,0.6802,20.12250804901123,0.0003
486997,39,0.7047432661056519,0.5625,0.6938,23.26804494857788,0.0003
548197,44,0.5127313733100891,0.65625,0.6918,26.367998600006104,0.0003
609515,49,0.4927474558353424,0.625,0.7018,29.526057958602905,0.0003
659708,53,0.7897914052009583,0.59375,0.7096,32.607388496398926,0.0003
710973,57,0.6242626905441284,0.6875,0.6574,36.47758173942566,0.0003
761131,61,0.6972008943557739,0.5625,0.7122,40.341482400894165,0.0003
811617,65,0.5393757820129395,0.78125,0.7132,42.58776831626892,0.0003
862222,69,0.5743510723114014,0.71875,0.7152,46.3721878528595,0.0003
912671,73,0.452264666557312,0.71875,0.6936,50.15502119064331,0.0003
974657,78,0.5348052382469177,0.71875,0.7258,54.002116441726685,0.0003
1037335,83,0.4695267677307129,0.8125,0.719,57.87360334396362,0.0003
1098685,88,0.5826627016067505,0.71875,0.7092,61.745001792907715,0.0003
1160159,93,0.5175694227218628,0.6875,0.7058,65.6011552810669,0.0003
1210187,97,0.5497110486030579,0.6875,0.699,69.38430166244507,0.0003
1262297,101,0.6804394721984863,0.6875,0.6888,73.16016697883606,0.0003
1313079,105,0.5376635789871216,0.6875,0.7028,76.94463753700256,0.0003
1374188,110,0.42975613474845886,0.75,0.6948,80.81632614135742,0.0003
1424341,114,0.6527363657951355,0.625,0.7136,84.61007475852966,0.0003
1475307,118,0.5173074007034302,0.75,0.715,88.39893698692322,0.0003
1525624,122,0.4827592670917511,0.75,0.706,92.21027565002441,0.0003
1587892,127,0.438520222902298,0.78125,0.7198,96.04318928718567,0.0003
1639317,131,0.5117664337158203,0.65625,0.7204,98.47788000106812,0.0003
1689461,135,0.5376977920532227,0.6875,0.7168,101.43023180961609,0.0003
1740112,139,0.5963020920753479,0.65625,0.7218,104.33039569854736,0.0003
1801876,144,0.470598429441452,0.78125,0.731,107.34068083763123,0.0003
1862172,149,0.5496387481689453,0.78125,0.7262,110.44823479652405,0.0003
1914151,153,0.5128411054611206,0.78125,0.7384,113.29598379135132,0.0003
1975831,158,0.5167731046676636,0.71875,0.7532,116.26854228973389,0.0003
