token_id,count,best_label,purity
1035,679,11,0.09131075110456553
109,703,5,0.09103840682788052
937,672,7,0.09077380952380952
897,581,11,0.08950086058519793
451,650,8,0.08923076923076922
294,764,18,0.08769633507853403
338,662,11,0.08761329305135952
1799,595,1,0.08739495798319327
1857,532,18,0.08646616541353383
1587,602,12,0.08637873754152824
1140,630,18,0.08571428571428572
1112,585,11,0.08547008547008547
1650,589,5,0.08488964346349745
1263,613,18,0.08482871125611746
1951,521,10,0.08445297504798464
793,616,18,0.08441558441558442
1950,605,18,0.08429752066115702
1128,630,11,0.08412698412698413
1116,667,8,0.08395802098950525
1848,527,18,0.08349146110056926
1589,625,11,0.0832
1511,625,7,0.0832
1357,602,5,0.08305647840531562
230,760,18,0.08289473684210526
644,629,18,0.08267090620031796
1899,521,7,0.08253358925143954
1013,668,11,0.08233532934131736
1204,693,5,0.08225108225108226
1355,596,11,0.08221476510067115
1531,597,5,0.08207705192629816
2047,488,1,0.08196721311475409
962,647,7,0.08191653786707882
1558,574,4,0.08188153310104529
1736,574,8,0.08188153310104529
551,685,11,0.08175182481751825
1818,515,11,0.08155339805825243
229,687,19,0.08151382823871907
1462,589,11,0.08149405772495756
2031,479,5,0.081419624217119
549,651,11,0.08141321044546851
1966,541,12,0.08133086876155268
1487,603,14,0.0812603648424544
1919,567,18,0.08112874779541446
1523,678,19,0.08112094395280237
1169,666,8,0.08108108108108109
1442,605,7,0.08099173553719008
1999,494,5,0.08097165991902834
1976,470,14,0.08085106382978724
1597,631,5,0.08082408874801902
283,656,5,0.08079268292682927
