token_id,count,best_label,purity
166,2814,11,0.09950248756218906
36,3721,7,0.09647944101048106
1343,623,11,0.09470304975922954
1988,415,11,0.09397590361445783
1333,526,14,0.09315589353612168
1793,473,11,0.09302325581395349
2018,519,5,0.0905587668593449
1398,567,11,0.08994708994708994
1743,491,11,0.08961303462321792
482,683,11,0.08931185944363104
1469,574,18,0.08710801393728224
1485,571,18,0.08581436077057793
1570,489,3,0.08384458077709611
647,776,5,0.08376288659793814
1161,669,11,0.08370702541106129
1538,514,14,0.08365758754863813
1153,467,18,0.0835117773019272
1447,575,3,0.08347826086956522
1071,611,5,0.08346972176759411
1534,480,11,0.08333333333333333
1524,614,11,0.08306188925081433
1272,614,11,0.08306188925081433
1671,604,11,0.08278145695364239
1653,435,19,0.08275862068965517
1151,484,11,0.08264462809917356
1608,570,11,0.0824561403508772
1784,570,18,0.0824561403508772
1451,535,18,0.08224299065420561
1918,622,18,0.0819935691318328
1378,538,5,0.08178438661710037
353,697,14,0.08177905308464849
669,699,18,0.0815450643776824
2043,405,18,0.08148148148148149
1668,479,13,0.081419624217119
2017,578,7,0.08131487889273356
2001,443,11,0.08126410835214447
1521,874,5,0.08123569794050343
1408,556,11,0.08093525179856115
1696,569,10,0.08084358523725835
1530,520,7,0.08076923076923077
1446,497,17,0.08048289738430583
92,9332,18,0.08026146592370338
246,985,11,0.08020304568527918
1420,562,1,0.0800711743772242
138,750,11,0.08
1666,650,7,0.08
1920,476,12,0.07983193277310924
467,664,7,0.07981927710843373
1897,564,13,0.0797872340425532
767,653,1,0.07963246554364471
