dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,token_fair,0.7746,0.477,329.209,519,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1
csic2010,tiny,WordPiece,token_fair,0.752,0.4794,331.5484,532,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1
csic2010,tiny,Unigram,token_fair,0.7182,0.7196,402.7612,605,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1
csic2010,tiny,Bytes,token_fair,0.5878,0.588,788.5086,1066,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1
csic2010,tiny,CIT,token_fair,0.8592,0.8592,213.3634,402,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1
csic2010,small,BPE,token_fair,0.7696,0.4734,329.209,519,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1
csic2010,small,WordPiece,token_fair,0.7882,0.4834,331.5484,532,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1
csic2010,small,Unigram,token_fair,0.6194,0.6194,402.7612,605,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1
csic2010,small,Bytes,token_fair,0.6206,0.4612,788.5086,1066,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1
csic2010,small,CIT,token_fair,0.8644,0.8644,213.3634,402,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1
