seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
203389,16,0.6647582054138184,0.5,0.6152,1.394843339920044,0.00012203339999999998
408301,32,0.6309449672698975,0.65625,0.6398,6.066995859146118,0.0002449806
612454,48,1.0654840469360352,0.40625,0.4556,10.838699340820312,0.0003
814584,64,0.5640969276428223,0.75,0.7098,16.14180636405945,0.0003
1019376,80,0.5807906985282898,0.6875,0.7114,20.714393854141235,0.0003
1224279,96,0.6344144344329834,0.59375,0.711,25.272874116897583,0.0003
1427081,112,0.5059274435043335,0.71875,0.6818,29.84381914138794,0.0003
1632036,128,0.5681536197662354,0.71875,0.7186,34.405513763427734,0.0003
1834542,144,0.5250263810157776,0.6875,0.7262,38.95977520942688,0.0003
2040205,160,0.4008701741695404,0.8125,0.7292,43.53219699859619,0.0003
2241316,176,0.41208741068840027,0.84375,0.7464,46.49477243423462,0.0003
2445598,192,0.6187207698822021,0.59375,0.766,49.54746770858765,0.0003
2647550,208,0.45674949884414673,0.75,0.7646,52.99451947212219,0.0003
2851015,224,0.3776724338531494,0.8125,0.7628,56.56718373298645,0.0003
3051498,240,0.3849315643310547,0.8125,0.7682,59.956387519836426,0.0003
3253815,256,0.5605409741401672,0.71875,0.73,63.41875147819519,0.0003
3456057,272,0.7640666365623474,0.46875,0.725,66.82097387313843,0.0003
3660504,288,0.3541519045829773,0.8125,0.7512,70.1634271144867,0.0003
3862674,304,0.34529468417167664,0.84375,0.7872,73.50228929519653,0.0003
4065049,320,0.31677529215812683,0.90625,0.7772,76.89812898635864,0.0003
4265996,336,0.4772484600543976,0.71875,0.7694,80.42740845680237,0.0003
4468994,352,0.4624869227409363,0.75,0.7998,83.05899786949158,0.0003
4671022,368,0.3921721279621124,0.8125,0.7878,85.83463382720947,0.0003
4873577,384,0.3450223207473755,0.78125,0.79,89.4168746471405,0.0003
5075465,400,0.33110201358795166,0.84375,0.8082,93.09357500076294,0.0003
5279489,416,0.22793512046337128,0.875,0.8044,96.72419714927673,0.0003
5482424,432,0.18418501317501068,0.96875,0.8106,100.38252806663513,0.0003
5683747,448,0.4758043885231018,0.65625,0.7844,104.0137357711792,0.0003
5884423,464,0.4227873682975769,0.75,0.7912,107.6358551979065,0.0003
6088480,480,0.4119859039783478,0.84375,0.8184,112.18897676467896,0.0003
6293011,496,0.2327255755662918,0.90625,0.8628,116.64788031578064,0.0003
6495352,512,0.32227277755737305,0.8125,0.8286,120.12329030036926,0.0003
6700287,528,0.4415234923362732,0.71875,0.7404,124.67650318145752,0.0003
6905166,544,0.45373162627220154,0.78125,0.8514,129.24685168266296,0.0003
7108864,560,0.4429510533809662,0.6875,0.8588,133.81085109710693,0.0003
7313544,576,0.27188193798065186,0.875,0.8592,138.3685667514801,0.0003
7519149,592,0.24514231085777283,0.90625,0.8038,142.9349329471588,0.0003
7722458,608,0.32514235377311707,0.875,0.8636,147.50892877578735,0.0003
7925345,624,0.3632396459579468,0.875,0.865,152.07242822647095,0.0003
8129327,640,0.327679842710495,0.78125,0.8454,156.62387108802795,0.0003
8330638,656,0.1720586121082306,0.84375,0.8616,161.17545199394226,0.0003
8533201,672,0.16331695020198822,0.90625,0.8454,165.76081442832947,0.0003
8735959,688,0.14737842977046967,0.9375,0.8686,170.33661031723022,0.0003
8941703,704,0.37130653858184814,0.84375,0.8558,173.7274158000946,0.0003
9145074,720,0.23026013374328613,0.90625,0.8662,177.64540791511536,0.0003
9349395,736,0.4146652817726135,0.84375,0.8582,180.91417789459229,0.0003
9551089,752,0.14573463797569275,0.9375,0.8624,184.26250004768372,0.0003
9755437,768,0.3671422302722931,0.84375,0.8738,187.75185465812683,0.0003
9957082,784,0.3180391192436218,0.9375,0.8802,190.97537326812744,0.0003
