dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,token_fair,0.7896,0.4872,329.209,519,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1
csic2010,tiny,WordPiece,token_fair,0.8234,0.4906,331.559,532,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1
csic2010,tiny,Unigram,token_fair,0.77,0.7672,402.7612,605,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1
csic2010,tiny,Bytes,token_fair,0.6582,0.4648,788.5086,1066,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1
csic2010,tiny,CIT,token_fair,0.8956,0.8956,213.3634,402,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1
csic2010,small,BPE,token_fair,0.8478,0.5072,329.209,519,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1
csic2010,small,WordPiece,token_fair,0.8986,0.5114,331.559,532,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1
csic2010,small,Unigram,token_fair,0.793,0.7928,402.7612,605,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1
csic2010,small,Bytes,token_fair,0.65,0.456,788.5086,1066,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1
csic2010,small,CIT,token_fair,0.9002,0.9002,213.3634,402,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1
