tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,0,2048,512,5000000,0.8430750332685024,106.31292865185792,111,0.20627027908430753,1.4264320135116577,3815426,3.815426
BPE,small,0,2048,512,5000000,0.8098065308629337,106.31292865185792,111,0.20627027908430753,7.2867841720581055,11631362,11.631362
WordPiece,mini,0,2048,512,5000000,0.8497287337496161,106.44098679496366,112,0.18127395353948897,1.627295970916748,3815426,3.815426
WordPiece,small,0,2048,512,5000000,0.8101136247312929,106.44098679496366,112,0.18127395353948897,6.028287887573242,11631362,11.631362
Unigram,mini,0,2048,512,5000000,0.8351929573139523,232.96079434947282,245,0.2867556595883906,5.48470401763916,3815426,3.815426
Unigram,small,0,2048,512,5000000,0.7741836421332787,232.96079434947282,245,0.2867556595883906,15.016960144042969,11631362,11.631362
Bytes,mini,0,2048,512,5000000,0.8263895997543249,336.47783805916674,347,0.28698293943442005,10.379615783691406,3815426,3.815426
Bytes,small,0,2048,512,5000000,0.7963967652779199,336.47783805916674,347,0.28698293943442005,24.90163230895996,11631362,11.631362
CIT,mini,0,2048,512,5000000,0.8493192752584706,60.534548060190396,69,0.13812096784252623,1.3107199668884277,3815426,3.815426
CIT,small,0,2048,512,5000000,0.8087828846350701,60.534548060190396,69,0.13812096784252623,4.865024089813232,11631362,11.631362
