tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,0,2048,512,10000000,0.8504452861091207,106.31292865185792,111,0.20627027908430753,1.6465920209884644,3815426,3.815426
BPE,small,0,2048,512,10000000,0.7606715119254785,106.31292865185792,111,0.20627027908430753,6.015168190002441,11631362,11.631362
WordPiece,mini,0,2048,512,10000000,0.8491145460128979,106.44098679496366,112,0.1836841200630814,1.6076799631118774,3815426,3.815426
WordPiece,small,0,2048,512,10000000,0.7854437506397789,106.44098679496366,112,0.1836841200630814,6.0590081214904785,11631362,11.631362
Unigram,mini,0,2048,512,10000000,0.8401064592076978,232.96079434947282,245,0.28791169467047967,5.342463970184326,3815426,3.815426
Unigram,small,0,2048,512,10000000,0.8122632818098066,232.96079434947282,245,0.28791169467047967,14.981120109558105,11631362,11.631362
Bytes,mini,0,2048,512,10000000,0.7991606100931518,336.47783805916674,347,0.28698293943442005,9.201663970947266,3815426,3.815426
Bytes,small,0,2048,512,10000000,0.8093970723717883,336.47783805916674,347,0.28698293943442005,21.494783401489258,11631362,11.631362
CIT,mini,0,2048,512,10000000,0.8498310983724024,60.534548060190396,69,0.13812096784252623,1.381376028060913,3815426,3.815426
CIT,small,0,2048,512,10000000,0.7606715119254785,60.534548060190396,69,0.13812096784252623,4.66534423828125,11631362,11.631362
