tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,2,2048,512,1000000,0.8335551233493704,106.3424096632204,112,0.19350281766307778,1.3772799968719482,3815426,3.815426
BPE,small,2,2048,512,1000000,0.73978912887706,106.3424096632204,112,0.19350281766307778,3.6464641094207764,11631362,11.631362
WordPiece,mini,2,2048,512,1000000,0.8300747261746341,106.46954652472105,112,0.17177888531180818,1.3608959913253784,3815426,3.815426
WordPiece,small,2,2048,512,1000000,0.8052001228375474,106.46954652472105,112,0.17177888531180818,3.620959997177124,11631362,11.631362
Unigram,mini,2,2048,512,1000000,0.7942471081994062,233.05824547036545,246,0.3714604336303986,3.0167040824890137,3815426,3.815426
Unigram,small,2,2048,512,1000000,0.7651755553280786,233.05824547036545,246,0.3714604336303986,7.758848190307617,11631362,11.631362
Bytes,mini,2,2048,512,1000000,0.7665062954243014,336.62196744804993,348,0.43101210746785396,4.597760200500488,3815426,3.815426
Bytes,small,2,2048,512,1000000,0.7606715119254785,336.62196744804993,348,0.43101210746785396,11.799712181091309,11631362,11.631362
CIT,mini,2,2048,512,1000000,0.8459412427065206,60.641621455624936,70,0.11892164190313476,1.1991039514541626,3815426,3.815426
CIT,small,2,2048,512,1000000,0.8430750332685024,60.641621455624936,70,0.11892164190313476,2.5180160999298096,11631362,11.631362
