token_id,count,best_label,purity
56,78253,7,0.05905204912271734
50,125326,11,0.05896621610838932
82,67405,11,0.05827460870855278
54,78225,5,0.057845957174816234
88,67413,11,0.057629834008277335
68,72767,11,0.057429878928635235
78,67357,11,0.05738082159241059
122,67066,11,0.05736140518295411
69,72487,11,0.05734821416253949
73,67234,11,0.05723294761578963
115,67223,11,0.057123306011335404
112,67911,18,0.057089425866207244
87,67231,18,0.05708676057176005
121,67233,11,0.056951199559740005
57,77861,18,0.05693479405607429
111,72327,11,0.05678377369447094
113,66846,11,0.05668252401041199
67,67362,11,0.056663994536979304
80,67506,18,0.05666163007732646
100,67683,7,0.05657255145309753
72,67267,11,0.05646156361960545
114,67604,7,0.05644636412046625
103,67374,11,0.05635705168165761
108,167586,11,0.05620397885264879
83,72506,11,0.05616086944528729
53,77694,11,0.05615620253816254
74,66997,18,0.05612191590668239
91,67076,11,0.056115451130061424
106,72528,11,0.056088682991396424
109,72318,11,0.056044138388782874
81,162130,18,0.05601060877073953
104,72733,11,0.05598559113469814
117,67217,11,0.05596798428968862
120,67502,18,0.0559242689105508
70,172429,11,0.05590706899651451
118,67460,18,0.055899792469611624
75,66979,18,0.05589811732035414
102,67738,11,0.05584753018984912
90,67383,11,0.05584494605464286
58,77865,11,0.055840236306427794
71,67464,7,0.055837187240602396
110,67619,11,0.05582750410387613
76,67645,11,0.055806046270973464
107,67162,11,0.05580536612965665
33,200000,11,0.0558
61,105000,11,0.0558
63,105000,11,0.0558
62,100000,11,0.0558
96,5000,11,0.0558
86,67673,7,0.055768179332968834
