token_id,count,best_label,purity
93,1287,18,0.2680652680652681
80,1307,11,0.2593726090283091
121,1243,14,0.252614641995173
153,1298,7,0.24807395993836673
79,1260,12,0.2388888888888889
126,1239,17,0.23567393058918482
86,1229,15,0.23270951993490643
74,1338,13,0.23243647234678624
82,1279,19,0.2290852228303362
81,1245,16,0.2289156626506024
108,20,18,0.2
151,1025,18,0.08097560975609756
281,1013,11,0.07996051332675222
262,954,7,0.07966457023060797
90,1031,8,0.07759456838021339
287,1028,7,0.07684824902723736
202,976,12,0.07479508196721311
187,940,3,0.07446808510638298
267,1021,11,0.07345739471106758
232,1012,7,0.07312252964426877
295,958,18,0.07306889352818371
235,1000,10,0.073
252,988,7,0.0728744939271255
171,955,11,0.07225130890052356
142,973,7,0.07194244604316546
273,1058,11,0.07183364839319471
272,938,7,0.07142857142857142
173,1000,18,0.071
157,1004,5,0.07071713147410359
181,1004,15,0.07071713147410359
270,1004,7,0.07071713147410359
136,1004,18,0.07071713147410359
218,1094,17,0.07038391224862889
244,1040,18,0.07019230769230769
258,1059,16,0.06987724268177525
163,959,19,0.06986444212721585
160,1002,7,0.06986027944111776
277,975,11,0.06974358974358974
185,967,7,0.06928645294725956
149,982,7,0.06924643584521385
179,984,17,0.06910569105691057
207,971,5,0.0690010298661174
298,1044,19,0.06896551724137931
243,988,7,0.06882591093117409
284,1003,11,0.06879361914257229
180,1033,5,0.06873184898354308
279,1019,11,0.06869479882237488
259,990,5,0.06868686868686869
239,962,18,0.06860706860706861
215,1096,5,0.06843065693430657
