token_id,count,best_label,purity
180,1299,18,0.26558891454965355
96,1332,11,0.25675675675675674
165,1266,14,0.24881516587677724
85,1270,12,0.23700787401574802
176,1264,17,0.2310126582278481
91,1244,15,0.23070739549839228
83,1354,13,0.23042836041358936
102,1290,19,0.22713178294573644
86,1261,16,0.2268041237113402
133,20,18,0.2
155,26,13,0.19230769230769232
101,22,10,0.18181818181818182
163,20,1,0.15
158,22,12,0.13636363636363635
192,1025,18,0.08097560975609756
289,971,7,0.08032955715756952
99,1031,8,0.07759456838021339
82,1106,11,0.07504520795660036
260,1029,7,0.07482993197278912
220,953,3,0.07450157397691501
296,1020,11,0.07352941176470588
233,1008,12,0.07341269841269842
210,951,11,0.07255520504731862
300,956,7,0.07217573221757322
215,972,7,0.0720164609053498
202,1029,18,0.07191448007774538
88,1029,3,0.07191448007774538
302,1058,11,0.07183364839319471
231,1021,7,0.07149853085210578
194,1025,18,0.07121951219512195
211,999,18,0.07107107107107107
198,1003,5,0.0707876370887338
298,1004,7,0.07071713147410359
247,1094,17,0.07038391224862889
204,967,19,0.0703205791106515
267,1040,18,0.07019230769230769
244,1001,7,0.06993006993006994
218,1030,15,0.06990291262135923
307,1047,11,0.06972301814708691
284,1081,16,0.06938020351526364
216,984,17,0.06910569105691057
308,1013,7,0.06910167818361303
246,1096,5,0.06843065693430657
217,1044,5,0.06800766283524905
277,986,7,0.06795131845841786
297,1002,5,0.06786427145708583
252,1032,8,0.06782945736434108
305,974,11,0.06776180698151951
93,1050,19,0.06761904761904762
276,950,19,0.06736842105263158
