dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,token_fair,0.7362,0.4548,327.2294,514,724738,0.724738,2048,512,2000000,0,0.54165,0.5576,0
csic2010,tiny,WordPiece,token_fair,0.7656,0.4498,329.449,526,724738,0.724738,2048,512,2000000,0,0.54165,0.5576,0
csic2010,tiny,Unigram,token_fair,0.701,0.7036,406.3974,595,724738,0.724738,2048,512,2000000,0,0.54165,0.5576,0
csic2010,tiny,Bytes,token_fair,0.6172,0.4384,785.3036,1059,724738,0.724738,2048,512,2000000,0,0.54165,0.5576,0
csic2010,tiny,CIT,token_fair,0.86,0.86,216.9894,416,724738,0.724738,2048,512,2000000,0,0.54165,0.5576,0
csic2010,small,BPE,token_fair,0.7628,0.47,327.2294,514,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0
csic2010,small,WordPiece,token_fair,0.786,0.4712,329.449,526,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0
csic2010,small,Unigram,token_fair,0.7124,0.7146,406.3974,595,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0
csic2010,small,Bytes,token_fair,0.6376,0.4424,785.3036,1059,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0
csic2010,small,CIT,token_fair,0.8848,0.8848,216.9894,416,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0
