vocab_size,tokenizer,acc,avg_len,p95_len,distortion_hat,tokenize_ms_per_sample,encode_total_s,train_time_s
256,BPE,0.7606715119254785,116.44610502610298,128,0.19145181355894006,0.042897759626309075,2.0248216055333614,2.245744031853974
256,WordPiece,0.7606715119254785,124.49759443136452,136,0.21917370190722874,0.04450185441722473,2.1213059378787875,0.6261224057525396
256,CIT,0.7606715119254785,120.63240863957417,132,0.24898453852984173,0.09047641356786092,4.500545437447727,0.6291971476748586
512,BPE,0.7606715119254785,107.5728324291125,113,0.18768612090987116,0.04085548501461744,2.028746208176017,0.5801661228761077
512,WordPiece,0.7606715119254785,108.11178216808271,114,0.17300419730729769,0.03959996532648802,1.9040419301018119,0.5918916808441281
512,CIT,0.7606715119254785,99.63240863957417,111,0.3819137005470273,0.19888421706855297,9.97779991850257,0.6283798962831497
1024,BPE,0.7606715119254785,106.76353772136349,112,0.1973227347480481,0.042269167179862656,2.092628332786262,0.6113167889416218
1024,WordPiece,0.7606715119254785,106.96755041457672,112,0.19133187380930564,0.039984739695986114,1.8931007729843259,0.5999825224280357
1024,CIT,0.7606715119254785,72.22509980550721,82,0.28873870811541874,0.5636819085727135,27.70886163879186,0.7838228195905685
2048,BPE,0.7606715119254785,106.31292865185792,111,0.19938642368328885,0.04232233172903458,2.028560994192958,0.5888190036639571
2048,WordPiece,0.7606715119254785,106.44098679496366,112,0.1797367971978866,0.040040098751584687,1.9055665852501988,0.5865236446261406
2048,CIT,0.7606715119254785,60.534548060190396,69,0.21259706220059574,1.1833812547847629,60.43827547878027,0.8839590512216091
4096,BPE,0.7606715119254785,106.05220595762104,111,0.20447759298318705,0.0407076363141338,2.1455494575202465,0.5867067649960518
4096,WordPiece,0.7606715119254785,106.09745112089261,111,0.18902980987648588,0.04412953369319439,1.9130765311419964,0.6088423188775778
4096,CIT,0.7606715119254785,57.95291227351827,60,0.18442804290905537,2.628445955303808,132.97681103553623,0.9066042769700289
