tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,1,2048,512,1000000,0.8332480294810114,106.31579486129594,112,0.15733263058292604,1.4049279689788818,3815426,3.815426
BPE,small,1,2048,512,1000000,0.8119561879414474,106.31579486129594,112,0.15733263058292604,3.911679983139038,11631362,11.631362
WordPiece,mini,1,2048,512,1000000,0.8358071450506704,106.44334118128775,112,0.15095779921897962,1.410048007965088,3815426,3.815426
WordPiece,small,1,2048,512,1000000,0.8228068379568021,106.44334118128775,112,0.15095779921897962,3.9139840602874756,11631362,11.631362
Unigram,mini,1,2048,512,1000000,0.8057119459514792,232.94277817586243,245,0.3745269999919872,3.6577279567718506,3815426,3.815426
Unigram,small,1,2048,512,1000000,0.7989558808475791,232.94277817586243,245,0.3745269999919872,8.92416000366211,11631362,11.631362
Bytes,mini,1,2048,512,1000000,0.7606715119254785,336.54314668850446,347,0.3438088589556967,4.700160026550293,3815426,3.815426
Bytes,small,1,2048,512,1000000,0.7666086600470877,336.54314668850446,347,0.3438088589556967,12.146528244018555,11631362,11.631362
CIT,mini,1,2048,512,1000000,0.8443034087419388,60.646125499027534,70,0.1157004109093304,1.1301120519638062,3815426,3.815426
CIT,small,1,2048,512,1000000,0.8260825058859658,60.646125499027534,70,0.1157004109093304,2.4576001167297363,11631362,11.631362
