tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,2,2048,512,10000000,0.8503429214863343,106.3424096632204,112,0.19350281766307778,1.4450880289077759,3815426,3.815426
BPE,small,2,2048,512,10000000,0.7606715119254785,106.3424096632204,112,0.19350281766307778,3.644416093826294,11631362,11.631362
WordPiece,mini,2,2048,512,10000000,0.8500358276179752,106.46954652472105,112,0.17072609502426558,1.3875199556350708,3815426,3.815426
WordPiece,small,2,2048,512,10000000,0.7951683898044836,106.46954652472105,112,0.17072609502426558,3.660032033920288,11631362,11.631362
Unigram,mini,2,2048,512,10000000,0.8385709898659024,233.05824547036545,246,0.3714604336303986,3.0597119331359863,3815426,3.815426
Unigram,small,2,2048,512,10000000,0.7606715119254785,233.05824547036545,246,0.3714604336303986,7.784448146820068,11631362,11.631362
Bytes,mini,2,2048,512,10000000,0.8011055379260927,336.62196744804993,348,0.43101210746785396,4.659200191497803,3815426,3.815426
Bytes,small,2,2048,512,10000000,0.8014126317944519,336.62196744804993,348,0.43101210746785396,11.981439590454102,11631362,11.631362
CIT,mini,2,2048,512,10000000,0.8477838059166752,60.641621455624936,70,0.11892164190313476,1.1745280027389526,3815426,3.815426
CIT,small,2,2048,512,10000000,0.7606715119254785,60.641621455624936,70,0.11892164190313476,2.475008010864258,11631362,11.631362
