tokenizer,backbone,acc,avg_len,p95_len,distortion_hat,p95_latency_ms
BPE,mini,0.8445081379875116,106.31292865185792,111,0.20627027908430753,1.411072015762329
BPE,small,0.8373426143924659,106.31292865185792,111,0.20627027908430753,4.230144023895264
WordPiece,mini,0.8481932644078206,106.44098679496366,112,0.18484964404670767,1.9937280416488647
WordPiece,small,0.8405159176988433,106.44098679496366,112,0.18484964404670767,5.922815799713135
CIT,mini,0.8491145460128979,60.534548060190396,69,0.13812096784252623,1.2042239904403687
CIT,small,0.8489098167673252,60.534548060190396,69,0.13812096784252623,3.6034560203552246
