dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,token_fair,0.847,0.4858,327.0838,513,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2
csic2010,tiny,WordPiece,token_fair,0.9056,0.4938,329.2584,523,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2
csic2010,tiny,Unigram,token_fair,0.8256,0.8232,399.6362,598,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2
csic2010,tiny,Bytes,token_fair,0.6768,0.4458,785.4556,1057,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2
csic2010,tiny,CIT,token_fair,0.9056,0.9056,218.015,414,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2
csic2010,small,BPE,token_fair,0.9054,0.5222,327.0838,513,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2
csic2010,small,WordPiece,token_fair,0.9104,0.4782,329.2584,523,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2
csic2010,small,Unigram,token_fair,0.8696,0.8692,399.6362,598,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2
csic2010,small,Bytes,token_fair,0.6862,0.4462,785.4556,1057,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2
csic2010,small,CIT,token_fair,0.9154,0.9154,218.015,414,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2
