vocab_size,tokenizer,acc,avg_len,p95_len,distortion_hat,tokenize_ms_per_sample,encode_total_s,train_time_s
256,BPE,0.7606715119254785,116.44610502610298,128,0.1870780338418229,0.045649202850957714,2.1785856429487467,2.200190832838416
256,WordPiece,0.7606715119254785,124.49759443136452,136,0.21123658726529104,0.0885050588597854,2.232870834879577,1.3724767593666911
256,CIT,0.7606715119254785,120.63240863957417,132,0.2580530385046235,0.04549965728074312,2.5275253700092435,0.8491798611357808
512,BPE,0.7606715119254785,107.5728324291125,113,0.1860202718529875,0.06779509503394365,3.3162317210808396,0.8354540728032589
512,WordPiece,0.7606715119254785,108.11178216808271,114,0.1798363933404985,0.06800942992170651,3.1590574653819203,0.8432829491794109
512,CIT,0.7606715119254785,99.63240863957417,111,0.2061942581975242,0.02726107370108366,2.2378213936463,3.3274304876103997
1024,BPE,0.7606715119254785,106.76353772136349,112,0.20335685028014372,0.04377603872368733,3.1382026309147477,3.1670260736718774
1024,WordPiece,0.7606715119254785,106.96755041457672,112,0.197967446341893,0.04228236464162668,2.0089738573879004,2.0262338370084763
1024,CIT,0.7606715119254785,72.22509980550721,82,0.14355906280195735,0.04538967243085305,1.300111187621951,2.2335018971934915
2048,BPE,0.7606715119254785,106.31292865185792,111,0.20627027908430753,0.08234729493657748,3.3281619111075997,1.5527577446773648
2048,WordPiece,0.7606715119254785,106.44098679496366,112,0.18536596536275066,0.0668708144997557,3.840405685827136,0.8335651839151978
2048,CIT,0.7606715119254785,60.534548060190396,69,0.13812096784252623,0.025885339515904587,2.2040348378941417,5.318727178499103
4096,BPE,0.7606715119254785,106.05220595762104,111,0.20666871585648974,0.06653499385962884,4.103786118328571,0.8692561909556389
4096,WordPiece,0.7606715119254785,106.09745112089261,111,0.1903074326951321,0.04429971302549044,3.2070527747273445,3.1216419180855155
4096,CIT,0.7606715119254785,57.95291227351827,60,0.12288894244111097,0.026776535746951897,1.4058132590726018,5.172613481990993
