tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,2,2048,512,5000000,0.8461459719520934,106.3424096632204,112,0.19350281766307778,1.393664002418518,3815426,3.815426
BPE,small,2,2048,512,5000000,0.8332480294810114,106.3424096632204,112,0.19350281766307778,3.661792039871216,11631362,11.631362
WordPiece,mini,2,2048,512,5000000,0.8459412427065206,106.46954652472105,112,0.1699063150016511,1.3945599794387817,3815426,3.815426
WordPiece,small,2,2048,512,5000000,0.8277203398505476,106.46954652472105,112,0.1699063150016511,3.6425600051879883,11631362,11.631362
Unigram,mini,2,2048,512,5000000,0.8141058450199611,233.05824547036545,246,0.3742836929276492,3.0494720935821533,3815426,3.815426
Unigram,small,2,2048,512,5000000,0.8010031733033064,233.05824547036545,246,0.3742836929276492,7.783423900604248,11631362,11.631362
Bytes,mini,2,2048,512,5000000,0.8251612242808886,336.62196744804993,348,0.43101210746785396,4.616864204406738,3815426,3.815426
Bytes,small,2,2048,512,5000000,0.7754120176067151,336.62196744804993,348,0.43101210746785396,11.877375602722168,11631362,11.631362
CIT,mini,2,2048,512,5000000,0.8490121813901116,60.641621455624936,70,0.11892164190313476,1.2113920450210571,3815426,3.815426
CIT,small,2,2048,512,5000000,0.8205548162555021,60.641621455624936,70,0.11892164190313476,2.515968084335327,11631362,11.631362
